Month,Title,,Fecha,Mes,Employed,Trend,Serie sin tendencia,,,
1997 may.,Retail Trade,,may-97,5.00,14241.9,14334,-92,,,
1997 jun.,Retail Trade,,jun-97,6.00,14339.3,14364,-25,,,
1997 jul.,Retail Trade,,jul-97,7.00,14354.7,14391,-37,,,
1997 ago.,Retail Trade,,ago-97,8.00,14392,14417,-25,,,
1997 sep.,Retail Trade,,sep-97,9.00,14359.5,14452,-93,,,
1997 oct.,Retail Trade,,oct-97,10.00,14533,14495,38,,,
1997 nov.,Retail Trade,,nov-97,11.00,14904.1,14514,390,,,
1997 dic.,Retail Trade,,dic-97,12.00,15176.5,14528,648,,,
1998 ene.,Retail Trade,,ene-98,1.00,14455.8,14537,-81,,,
1998 feb.,Retail Trade,,feb-98,2.00,14243.3,14537,-293,,,
1998 mar.,Retail Trade,,mar-98,3.00,14226.1,14532,-306,,,
1998 abr.,Retail Trade,,abr-98,4.00,14322,14557,-235,,,
1998 may.,Retail Trade,,may-98,5.00,14471.8,14589,-118,,,
1998 jun.,Retail Trade,,jun-98,6.00,14568.9,14622,-53,,,
1998 jul.,Retail Trade,,jul-98,7.00,14602.1,14651,-49,,,
1998 ago.,Retail Trade,,ago-98,8.00,14617,14682,-65,,,
1998 sep.,Retail Trade,,sep-98,9.00,14601.4,14722,-121,,,
1998 oct.,Retail Trade,,oct-98,10.00,14745.6,14773,-27,,,
1998 nov.,Retail Trade,,nov-98,11.00,15114.4,14798,316,,,
1998 dic.,Retail Trade,,dic-98,12.00,15388.3,14817,571,,,
1999 ene.,Retail Trade,,ene-99,1.00,14705.2,14831,-126,,,
1999 feb.,Retail Trade,,feb-99,2.00,14567.2,14838,-271,,,
1999 mar.,Retail Trade,,mar-99,3.00,14574.9,14837,-262,,,
1999 abr.,Retail Trade,,abr-99,4.00,14695.9,14864,-168,,,
1999 may.,Retail Trade,,may-99,5.00,14828,14898,-70,,,
1999 jun.,Retail Trade,,jun-99,6.00,14931,14934,-3,,,
1999 jul.,Retail Trade,,jul-99,7.00,14976.4,14966,10,,,
1999 ago.,Retail Trade,,ago-99,8.00,14991.2,14997,-6,,,
1999 sep.,Retail Trade,,sep-99,9.00,14963.5,15039,-76,,,
1999 oct.,Retail Trade,,oct-99,10.00,15135.6,15088,47,,,
1999 nov.,Retail Trade,,nov-99,11.00,15504.9,15111,394,,,
1999 dic.,Retail Trade,,dic-99,12.00,15812.9,15128,685,,,
2000 ene.,Retail Trade,,ene-00,1.00,15122.9,15140,-17,,,
2000 feb.,Retail Trade,,feb-00,2.00,14918.4,15137,-219,,,
2000 mar.,Retail Trade,,mar-00,3.00,14944.4,15129,-185,,,
2000 abr.,Retail Trade,,abr-00,4.00,15090,15148,-58,,,
2000 may.,Retail Trade,,may-00,5.00,15145.4,15169,-23,,,
2000 jun.,Retail Trade,,jun-00,6.00,15240.6,15190,51,,,
2000 jul.,Retail Trade,,jul-00,7.00,15242,15205,37,,,
2000 ago.,Retail Trade,,ago-00,8.00,15272.9,15219,54,,,
2000 sep.,Retail Trade,,sep-00,9.00,15239.5,15241,-1,,,
2000 oct.,Retail Trade,,oct-00,10.00,15382.9,15266,117,,,
2000 nov.,Retail Trade,,nov-00,11.00,15776.7,15266,511,,,
2000 dic.,Retail Trade,,dic-00,12.00,16027.7,15260,768,,,
2001 ene.,Retail Trade,,ene-01,1.00,15288,15249,39,,,
2001 feb.,Retail Trade,,feb-01,2.00,15094.4,15227,-133,,,
2001 mar.,Retail Trade,,mar-01,3.00,15077,15198,-121,,,
2001 abr.,Retail Trade,,abr-01,4.00,15046.8,15195,-148,,,
2001 may.,Retail Trade,,may-01,5.00,15157.7,15198,-40,,,
2001 jun.,Retail Trade,,jun-01,6.00,15248.1,15199,49,,,
2001 jul.,Retail Trade,,jul-01,7.00,15164.8,15193,-28,,,
2001 ago.,Retail Trade,,ago-01,8.00,15189.7,15189,1,,,
2001 sep.,Retail Trade,,sep-01,9.00,15128.4,15194,-65,,,
2001 oct.,Retail Trade,,oct-01,10.00,15224.1,15205,19,,,
2001 nov.,Retail Trade,,nov-01,11.00,15576.1,15191,385,,,
2001 dic.,Retail Trade,,dic-01,12.00,15713.9,15171,543,,,
2002 ene.,Retail Trade,,ene-02,1.00,14985,15146,-161,,,
2002 feb.,Retail Trade,,feb-02,2.00,14785.9,15109,-324,,,
2002 mar.,Retail Trade,,mar-02,3.00,14813.9,15068,-254,,,
2002 abr.,Retail Trade,,abr-02,4.00,14874.5,15054,-180,,,
2002 may.,Retail Trade,,may-02,5.00,14960.4,15046,-86,,,
2002 jun.,Retail Trade,,jun-02,6.00,15033.4,15040,-7,,,
2002 jul.,Retail Trade,,jul-02,7.00,15011.9,15034,-22,,,
2002 ago.,Retail Trade,,ago-02,8.00,14981.1,15029,-48,,,
2002 sep.,Retail Trade,,sep-02,9.00,14907.3,15031,-124,,,
2002 oct.,Retail Trade,,oct-02,10.00,15033.6,15043,-9,,,
2002 nov.,Retail Trade,,nov-02,11.00,15383.9,15031,352,,,
2002 dic.,Retail Trade,,dic-02,12.00,15577,15016,561,,,
2003 ene.,Retail Trade,,ene-03,1.00,14859,15001,-142,,,
2003 feb.,Retail Trade,,feb-03,2.00,14652.3,14976,-324,,,
2003 mar.,Retail Trade,,mar-03,3.00,14652.4,14951,-299,,,
2003 abr.,Retail Trade,,abr-03,4.00,14725.9,14955,-229,,,
2003 may.,Retail Trade,,may-03,5.00,14826.2,14964,-138,,,
2003 jun.,Retail Trade,,jun-03,6.00,14889.5,14972,-83,,,
2003 jul.,Retail Trade,,jul-03,7.00,14860.5,14976,-116,,,
2003 ago.,Retail Trade,,ago-03,8.00,14898.1,14983,-85,,,
2003 sep.,Retail Trade,,sep-03,9.00,14865.2,15000,-135,,,
2003 oct.,Retail Trade,,oct-03,10.00,15010.3,15024,-14,,,
2003 nov.,Retail Trade,,nov-03,11.00,15315.2,15026,289,,,
2003 dic.,Retail Trade,,dic-03,12.00,15505.2,15027,479,,,
2004 ene.,Retail Trade,,ene-04,1.00,14861.4,15024,-162,,,
2004 feb.,Retail Trade,,feb-04,2.00,14693.8,15013,-319,,,
2004 mar.,Retail Trade,,mar-04,3.00,14775.6,15000,-224,,,
2004 abr.,Retail Trade,,abr-04,4.00,14862.8,15015,-152,,,
2004 may.,Retail Trade,,may-04,5.00,14987,15038,-51,,,
2004 jun.,Retail Trade,,jun-04,6.00,15082,15062,20,,,
2004 jul.,Retail Trade,,jul-04,7.00,15051.3,15080,-28,,,
2004 ago.,Retail Trade,,ago-04,8.00,15054.8,15098,-43,,,
2004 sep.,Retail Trade,,sep-04,9.00,14996.2,15127,-131,,,
2004 oct.,Retail Trade,,oct-04,10.00,15154.5,15164,-10,,,
2004 nov.,Retail Trade,,nov-04,11.00,15526.2,15176,350,,,
2004 dic.,Retail Trade,,dic-04,12.00,15707.1,15183,524,,,
2005 ene.,Retail Trade,,ene-05,1.00,15051.1,15188,-137,,,
2005 feb.,Retail Trade,,feb-05,2.00,14911.9,15183,-271,,,
2005 mar.,Retail Trade,,mar-05,3.00,14955.6,15174,-219,,,
2005 abr.,Retail Trade,,abr-05,4.00,15068.9,15191,-122,,,
2005 may.,Retail Trade,,may-05,5.00,15194.5,15212,-18,,,
2005 jun.,Retail Trade,,jun-05,6.00,15300.1,15232,68,,,
2005 jul.,Retail Trade,,jul-05,7.00,15327.6,15245,83,,,
2005 ago.,Retail Trade,,ago-05,8.00,15348.8,15258,90,,,
2005 sep.,Retail Trade,,sep-05,9.00,15226.4,15284,-57,,,
2005 oct.,Retail Trade,,oct-05,10.00,15348.9,15316,33,,,
2005 nov.,Retail Trade,,nov-05,11.00,15741.9,15326,416,,,
2005 dic.,Retail Trade,,dic-05,12.00,15938.4,15332,606,,,
2006 ene.,Retail Trade,,ene-06,1.00,15245.6,15337,-91,,,
2006 feb.,Retail Trade,,feb-06,2.00,15067.2,15330,-263,,,
2006 mar.,Retail Trade,,mar-06,3.00,15150.1,15322,-172,,,
2006 abr.,Retail Trade,,abr-06,4.00,15171.3,15338,-166,,,
2006 may.,Retail Trade,,may-06,5.00,15253.8,15358,-105,,,
2006 jun.,Retail Trade,,jun-06,6.00,15332.6,15379,-46,,,
2006 jul.,Retail Trade,,jul-06,7.00,15326.4,15391,-65,,,
2006 ago.,Retail Trade,,ago-06,8.00,15337.2,15403,-66,,,
2006 sep.,Retail Trade,,sep-06,9.00,15235.3,15427,-192,,,
2006 oct.,Retail Trade,,oct-06,10.00,15386,15456,-70,,,
2006 nov.,Retail Trade,,nov-06,11.00,15813.5,15460,354,,,
2006 dic.,Retail Trade,,dic-06,12.00,15982.4,15460,523,,,
2007 ene.,Retail Trade,,ene-07,1.00,15342.5,15458,-115,,,
2007 feb.,Retail Trade,,feb-07,2.00,15182,15440,-258,,,
2007 mar.,Retail Trade,,mar-07,3.00,15301,15419,-118,,,
2007 abr.,Retail Trade,,abr-07,4.00,15327.3,15422,-95,,,
2007 may.,Retail Trade,,may-07,5.00,15462.9,15430,33,,,
2007 jun.,Retail Trade,,jun-07,6.00,15511.5,15434,77,,,
2007 jul.,Retail Trade,,jul-07,7.00,15514.4,15432,83,,,
2007 ago.,Retail Trade,,ago-07,8.00,15538.3,15428,110,,,
2007 sep.,Retail Trade,,sep-07,9.00,15440.9,15429,12,,,
2007 oct.,Retail Trade,,oct-07,10.00,15529,15432,97,,,
2007 nov.,Retail Trade,,nov-07,11.00,15994.6,15410,585,,,
2007 dic.,Retail Trade,,dic-07,12.00,16162,15382,780,,,
2008 ene.,Retail Trade,,ene-08,1.00,15464.1,15348,116,,,
2008 feb.,Retail Trade,,feb-08,2.00,15231.2,15300,-69,,,
2008 mar.,Retail Trade,,mar-08,3.00,15284.9,15248,36,,,
2008 abr.,Retail Trade,,abr-08,4.00,15247.6,15221,27,,,
2008 may.,Retail Trade,,may-08,5.00,15302,15197,105,,,
2008 jun.,Retail Trade,,jun-08,6.00,15342.8,15169,174,,,
2008 jul.,Retail Trade,,jul-08,7.00,15308.5,15136,172,,,
2008 ago.,Retail Trade,,ago-08,8.00,15270.9,15100,171,,,
2008 sep.,Retail Trade,,sep-08,9.00,15099.4,15073,26,,,
2008 oct.,Retail Trade,,oct-08,10.00,15138.1,15051,88,,,
2008 nov.,Retail Trade,,nov-08,11.00,15351.7,15008,344,,,
2008 dic.,Retail Trade,,dic-08,12.00,15424.4,14962,462,,,
2009 ene.,Retail Trade,,ene-09,1.00,14688.6,14917,-228,,,
2009 feb.,Retail Trade,,feb-09,2.00,14439,14857,-418,,,
2009 mar.,Retail Trade,,mar-09,3.00,14410.6,14796,-385,,,
2009 abr.,Retail Trade,,abr-09,4.00,14399.6,14760,-361,,,
2009 may.,Retail Trade,,may-09,5.00,14495.4,14733,-238,,,
2009 jun.,Retail Trade,,jun-09,6.00,14543.5,14705,-161,,,
2009 jul.,Retail Trade,,jul-09,7.00,14489.3,14674,-185,,,
2009 ago.,Retail Trade,,ago-09,8.00,14495.3,14647,-152,,,
2009 sep.,Retail Trade,,sep-09,9.00,14367.5,14630,-263,,,
2009 oct.,Retail Trade,,oct-09,10.00,14413,14620,-207,,,
2009 nov.,Retail Trade,,nov-09,11.00,14729.7,14591,138,,,
2009 dic.,Retail Trade,,dic-09,12.00,14863.7,14563,300,,,
2010 ene.,Retail Trade,,ene-10,1.00,14290.5,14536,-246,,,
2010 feb.,Retail Trade,,feb-10,2.00,14123,14506,-383,,,
2010 mar.,Retail Trade,,mar-10,3.00,14209.3,14477,-268,,,
2010 abr.,Retail Trade,,abr-10,4.00,14269.1,14477,-208,,,
2010 may.,Retail Trade,,may-10,5.00,14380.1,14487,-107,,,
2010 jun.,Retail Trade,,jun-10,6.00,14441.8,14497,-56,,,
2010 jul.,Retail Trade,,jul-10,7.00,14445.1,14505,-60,,,
2010 ago.,Retail Trade,,ago-10,8.00,14463.7,14514,-50,,,
2010 sep.,Retail Trade,,sep-10,9.00,14361,14534,-173,,,
2010 oct.,Retail Trade,,oct-10,10.00,14510.5,14562,-52,,,
2010 nov.,Retail Trade,,nov-10,11.00,14849.9,14571,279,,,
2010 dic.,Retail Trade,,dic-10,12.00,15008.4,14576,433,,,
2011 ene.,Retail Trade,,ene-11,1.00,14448.6,14582,-133,,,
2011 feb.,Retail Trade,,feb-11,2.00,14282.5,14579,-297,,,
2011 mar.,Retail Trade,,mar-11,3.00,14349.3,14576,-227,,,
2011 abr.,Retail Trade,,abr-11,4.00,14489,14595,-106,,,
2011 may.,Retail Trade,,may-11,5.00,14588.7,14618,-29,,,
2011 jun.,Retail Trade,,jun-11,6.00,14682.3,14639,43,,,
2011 jul.,Retail Trade,,jul-11,7.00,14718,14655,63,,,
2011 ago.,Retail Trade,,ago-11,8.00,14717.5,14672,45,,,
2011 sep.,Retail Trade,,sep-11,9.00,14617.2,14704,-87,,,
2011 oct.,Retail Trade,,oct-11,10.00,14751.7,14739,12,,,
2011 nov.,Retail Trade,,nov-11,11.00,15142.3,14753,389,,,
2011 dic.,Retail Trade,,dic-11,12.00,15296.7,14764,533,,,
2012 ene.,Retail Trade,,ene-12,1.00,14734.5,14771,-36,,,
2012 feb.,Retail Trade,,feb-12,2.00,14520.3,14769,-249,,,
2012 mar.,Retail Trade,,mar-12,3.00,14580.3,14767,-186,,,
2012 abr.,Retail Trade,,abr-12,4.00,14670.4,14787,-117,,,
2012 may.,Retail Trade,,may-12,5.00,14775.5,14815,-40,,,
2012 jun.,Retail Trade,,jun-12,6.00,14815.9,14842,-26,,,
2012 jul.,Retail Trade,,jul-12,7.00,14807.7,14862,-54,,,
2012 ago.,Retail Trade,,ago-12,8.00,14815.2,14883,-68,,,
2012 sep.,Retail Trade,,sep-12,9.00,14738.9,14917,-178,,,
2012 oct.,Retail Trade,,oct-12,10.00,14877.7,14955,-78,,,
2012 nov.,Retail Trade,,nov-12,11.00,15363,14971,392,,,
2012 dic.,Retail Trade,,dic-12,12.00,15462.5,14982,480,,,
2013 ene.,Retail Trade,,ene-13,1.00,14858.2,14992,-133,,,
2013 feb.,Retail Trade,,feb-13,2.00,14672.3,14991,-319,,,
2013 mar.,Retail Trade,,mar-13,3.00,14711.7,14989,-278,,,
2013 abr.,Retail Trade,,abr-13,4.00,14808.6,15011,-202,,,
2013 may.,Retail Trade,,may-13,5.00,14932.3,15041,-108,,,
2013 jun.,Retail Trade,,jun-13,6.00,15045.2,15068,-23,,,
2013 jul.,Retail Trade,,jul-13,7.00,15097.3,15090,7,,,
2013 ago.,Retail Trade,,ago-13,8.00,15131.7,15114,17,,,
2013 sep.,Retail Trade,,sep-13,9.00,15052.6,15152,-99,,,
2013 oct.,Retail Trade,,oct-13,10.00,15212.3,15194,18,,,
2013 nov.,Retail Trade,,nov-13,11.00,15655.3,15215,440,,,
2013 dic.,Retail Trade,,dic-13,12.00,15839.4,15233,607,,,
2014 ene.,Retail Trade,,ene-14,1.00,15170.7,15248,-77,,,
2014 feb.,Retail Trade,,feb-14,2.00,14951.8,15249,-297,,,
2014 mar.,Retail Trade,,mar-14,3.00,15015.4,15251,-236,,,
2014 abr.,Retail Trade,,abr-14,4.00,15137,15278,-141,,,
2014 may.,Retail Trade,,may-14,5.00,15238.9,15311,-72,,,
2014 jun.,Retail Trade,,jun-14,6.00,15354.6,15343,12,,,
2014 jul.,Retail Trade,,jul-14,7.00,15389.2,15367,22,,,
2014 ago.,Retail Trade,,ago-14,8.00,15380.4,15393,-13,,,
2014 sep.,Retail Trade,,sep-14,9.00,15298.8,15430,-131,,,
2014 oct.,Retail Trade,,oct-14,10.00,15481.6,15468,13,,,
2014 nov.,Retail Trade,,nov-14,11.00,15894.3,15485,409,,,
2014 dic.,Retail Trade,,dic-14,12.00,16048.1,15500,548,,,
2015 ene.,Retail Trade,,ene-15,1.00,15421.1,15513,-92,,,
2015 feb.,Retail Trade,,feb-15,2.00,15244.9,15513,-268,,,
2015 mar.,Retail Trade,,mar-15,3.00,15311.7,15509,-198,,,
2015 abr.,Retail Trade,,abr-15,4.00,15401.8,15533,-131,,,
2015 may.,Retail Trade,,may-15,5.00,15530.3,15565,-34,,,
2015 jun.,Retail Trade,,jun-15,6.00,15620.5,15594,26,,,
2015 jul.,Retail Trade,,jul-15,7.00,15647,15615,32,,,
2015 ago.,Retail Trade,,ago-15,8.00,15626.3,15638,-12,,,
2015 sep.,Retail Trade,,sep-15,9.00,15513.4,15669,-156,,,
2015 oct.,Retail Trade,,oct-15,10.00,15696.8,15704,-7,,,
2015 nov.,Retail Trade,,nov-15,11.00,16095.8,15720,376,,,
2015 dic.,Retail Trade,,dic-15,12.00,16221.5,15732,490,,,
2016 ene.,Retail Trade,,ene-16,1.00,15625.7,15737,-111,,,
2016 feb.,Retail Trade,,feb-16,2.00,15486.6,15730,-243,,,
2016 mar.,Retail Trade,,mar-16,3.00,15576.8,15720,-143,,,
2016 abr.,Retail Trade,,abr-16,4.00,15648.7,15734,-86,,,
2016 may.,Retail Trade,,may-16,5.00,15745.7,15755,-9,,,
2016 jun.,Retail Trade,,jun-16,6.00,15851.8,15772,80,,,
2016 jul.,Retail Trade,,jul-16,7.00,15874.4,15782,93,,,
2016 ago.,Retail Trade,,ago-16,8.00,15864.6,15792,73,,,
2016 sep.,Retail Trade,,sep-16,9.00,15750.3,15815,-64,,,
2016 oct.,Retail Trade,,oct-16,10.00,15899.5,15837,62,,,
2016 nov.,Retail Trade,,nov-16,11.00,16260.2,15840,420,,,
2016 dic.,Retail Trade,,dic-16,12.00,16394.3,15843,552,,,
2017 ene.,Retail Trade,,ene-17,1.00,15854.4,15840,15,,,
2017 feb.,Retail Trade,,feb-17,2.00,15627.9,15825,-197,,,
2017 mar.,Retail Trade,,mar-17,3.00,15635,15811,-176,,,
2017 abr.,Retail Trade,,abr-17,4.00,15686.6,15818,-132,,,
2017 may.,Retail Trade,,may-17,5.00,15759.5,15831,-72,,,
2017 jun.,Retail Trade,,jun-17,6.00,15843,15840,3,,,
2017 jul.,Retail Trade,,jul-17,7.00,15841.1,15841,0,,,
2017 ago.,Retail Trade,,ago-17,8.00,15810.2,15843,-33,,,
2017 sep.,Retail Trade,,sep-17,9.00,15679.3,15858,-179,,,
2017 oct.,Retail Trade,,oct-17,10.00,15819.9,15873,-53,,,
2017 nov.,Retail Trade,,nov-17,11.00,16285.8,15869,417,,,
2017 dic.,Retail Trade,,dic-17,12.00,16305.9,15863,443,,,
2018 ene.,Retail Trade,,ene-18,1.00,15718.6,15852,-133,,,
2018 feb.,Retail Trade,,feb-18,2.00,15577,15830,-253,,,
2018 mar.,Retail Trade,,mar-18,3.00,15610.8,15806,-195,,,
2018 abr.,Retail Trade,,abr-18,4.00,15681.4,15803,-121,,,
2018 may.,Retail Trade,,may-18,5.00,15797.2,15808,-11,,,
2018 jun.,Retail Trade,,jun-18,6.00,15844.9,15812,33,,,
2018 jul.,Retail Trade,,jul-18,7.00,15854.5,15810,45,,,
2018 ago.,Retail Trade,,ago-18,,15834.9,,,,,
2018 sep.,Retail Trade,,sep-18,,15680.6,,,,,
2018 oct.,Retail Trade,,oct-18,,15796.5,,,,,
2018 nov.,Retail Trade,,nov-18,,16291.3,,,,,
2018 dic.,Retail Trade,,dic-18,,16309.2,,,,,
2019 ene.,Retail Trade,,ene-19,,15753.5,,,,,
2019 feb.,Retail Trade,,feb-19,,15567.4,,,,,
2019 mar.,Retail Trade,,mar-19,,15576.6,,,,,
2019 abr.,Retail Trade,,abr-19,,15624.9,,,,,
2019 may.,Retail Trade,,may-19,,15691.6,,,,,
2019 jun.,Retail Trade,,jun-19,,15775.5,,,,,
2019 jul.,Retail Trade,,jul-19,,15785.9,,,,,
2019 ago.,Retail Trade,,ago-19,,15749.5,,,,,
2019 sep.,Retail Trade,,sep-19,,15611.3,,,,,
